Time,Data
Fri Sep 15 08:47:30 2023
,25.4688
Fri Sep 15 08:47:30 2023
,25.4688
Fri Sep 15 08:47:31 2023
,25.4729
Fri Sep 15 08:47:31 2023
,25.4771
Fri Sep 15 08:47:31 2023
,25.4708
Fri Sep 15 08:47:32 2023
,25.4688
Fri Sep 15 08:47:32 2023
,25.4708
Fri Sep 15 08:47:32 2023
,25.4792
Fri Sep 15 08:47:33 2023
,25.4813
Fri Sep 15 08:47:33 2023
,25.4792
Fri Sep 15 08:47:33 2023
,25.4833
Fri Sep 15 09:00:27 2023
,25.9083
Fri Sep 15 09:00:27 2023
,25.9083
20,25.9667
20,25.9688
20,25.9646
20,25.9646
20,25.9771
20,25.9792
20,25.975
20,25.975
20,25.9792
20,25.975
20,25.9708
20,25.975
20,25.9813
20,25.9708
20,25.9729
20,25.975
20,25.9771
20,25.9771
20,25.9771
20,25.9667
20,25.9771
19,25.9729
19,25.9792
19,25.9813
19,25.9729
19,25.9729
19,25.975
19,25.9771
19,25.9875
15/09/2023 09:06:13,26
15/09/2023 09:06:13,26.0021
